,Mid_kept,activation,epochs,batch_size,neurons,consensus,depth,accuracy
335,00000025846,0000000tanh,00000000500,00000003500,00000000011,consensusH5,00000000003,0.993303721
336,00000025846,0000000selu,00000000100,00000001000,00000000008,consensusH5,00000000003,0.992389504
337,00000025846,0000000selu,00000000100,00000000500,00000000008,consensusH5,00000000015,0.99367228
338,00000025846,0000000selu,00000000500,00000000750,00000000005,consensusH6,00000000009,0.994304094
339,00000025846,0000000selu,00000000250,00000000750,00000000008,consensusH5,00000000003,0.993667493
340,00000025846,0000000selu,00000000025,00000003500,00000000008,consensusH6,00000000015,0.987464221
341,00000025846,0000000tanh,00000000250,00000003500,00000000011,consensusH5,00000000009,0.992691052
342,00000025846,0000000selu,00000000250,00000003500,00000000008,consensusH6,00000000009,0.993715358
343,00000025846,0000000selu,00000000250,00000001000,00000000008,consensusH6,00000000009,0.994146141
344,00000025846,0000000selu,00000000500,00000001000,00000000008,consensusH5,00000000003,0.993437742
345,00000025846,0000000selu,00000000250,00000003500,00000000005,consensusH5,00000000003,0.992298561
